observation_date,IPC ,IPC - non food non energy,GDP,Government spending,Monetary aggregate - Euro area,Interest rate - Bond yields,Total unemployment rate,Prix du pétrole brut - Euro,Xchange rate - US to one EU
2000-01-01,"0,197689882877562000","0,52240993333333300","361616,2","114611900000,00000",4766006,"5,57","10,2","26,96","0,9859"
2000-04-01,"0,150510211574476000","0,28375870000000000","366613,8","115156600000,00000",4788838,"5,38","9,7","27,01","0,9334"
2000-07-01,"0,179225696815439000","0,49114243333333300","371656,8","115560100000,00000",4830524,"5,39","9,3","30,66","0,9042"
2000-10-01,"0,016686900535911000","0,73214856666666700","375583,1","115737400000,00000",4859203,"5,23","8,9","29,92","0,8682"
2001-01-01,"0,100025322431088000","0,81409820000000000","379010,8","115883700000,00000",5079966,"4,90","8,7","25,82","0,9220"
2001-04-01,"0,387002939701203000","1,17971766666667000","381412,0","116025200000,00000",5192173,"5,12","8,7","27,29","0,8736"
2001-07-01,"-0,008037166672532300","1,32123200000000000","385064,7","116339400000,00000",5296229,"5,01","8,8","25,30","0,8908"
2001-10-01,"-0,028444051095359500","1,42181200000000000","385754,3","116551600000,00000",5402883,"4,72","8,8","19,40","0,8951"
2002-01-01,"0,342255172641355000","1,92506433333333000","390176,9","116770800000,00000",5453968,"5,05","8,8","21,12","0,8770"
2002-04-01,"0,161680706876300000","2,00482800000000000","393487,6","117838000000,00000",5539079,"5,20","8,6","25,11","0,9186"
2002-07-01,"0,136737755688706000","2,26822700000000000","397287,1","118506500000,00000",5660669,"4,70","8,6","26,89","0,9842"
2002-10-01,"0,108163512905841000","2,27967866666667000","399443,1","119410400000,00000",5767431,"4,49","8,6","26,74","1,0003"
2003-01-01,"0,429964294719933000","2,14411133333333000","401597,4","119736100000,00000",5880069,"4,11","8,3","31,50","1,0733"
2003-04-01,"-0,023562759164734300","2,01143300000000000","402156,2","120546400000,00000",5990357,"3,93","8,5","26,17","1,1356"
2003-07-01,"0,169685755819503000","1,73482500000000000","408947,1","121040500000,00000",6057142,"4,13","8,5","28,43","1,1264"
2003-10-01,"0,145138012339754000","2,28285733333333000","412077,9","121874500000,00000",6148767,"4,34","8,8","29,41","1,1920"
2004-01-01,"0,273209717389523000","2,30844233333333000","418054,0","122442300000,00000",6232560,"4,11","8,9","31,99","1,2499"
2004-04-01,"0,220720537045028000","2,32872933333333000","420802,8","123099300000,00000",6315025,"4,30","8,8","35,41","1,2047"
2004-07-01,"0,050197224242343900","2,45659533333333000","423920,2","123452300000,00000",6417367,"4,16","8,9","41,39","1,2227"
2004-10-01,"0,142199639420975000","1,85026966666667000","430220,9","123917800000,00000",6540370,"3,83","8,9","44,01","1,2991"
2005-01-01,"0,230890593951701000","1,39360466666667000","433422,9","124459100000,00000",6628904,"3,64","8,6","47,87","1,3112"
2005-04-01,"0,125426909303789000","1,40413433333333000","437296,1","125080900000,00000",6807158,"3,37","8,8","51,62","1,2591"
2005-07-01,"0,208382934142923000","1,13923900000000000","442475,4","125598700000,00000",6972348,"3,23","9,0","61,57","1,2196"
2005-10-01,"-0,033827414591440300","1,08602600000000000","447336,6","125696800000,00000",7087688,"3,39","9,1","56,85","1,1890"
2006-01-01,"0,188423066933811000","1,09276853333333000","452925,0","126441300000,00000",7221902,"3,51","9,2","61,79","1,2033"
